project_id,department,region,contractor,budget_lakhs,planned_duration_days,actual_duration_days,progress_pct,complaint_count,team_size,previous_delays,material_issues,land_disputes,season_started,delay_score,delay_status,is_delayed
PRJ00001,Water Supply,South Delhi,Prime Infra Group,111.99,134,257,86,189,144,0,1,0,Monsoon,0.6848,DELAYED,1
PRJ00002,Roads & Highways,Mumbai Suburban,Bharat Construction,252.92,57,188,71,50,144,3,0,1,Monsoon,0.7303,SEVERELY_DELAYED,1
PRJ00003,Transport,Coimbatore,ABC Infra Pvt Ltd,349.22,378,378,35,39,60,2,0,0,Monsoon,0.1653,ON_TRACK,0
PRJ00004,Electricity,Mumbai City,Urban Dev Ltd,302.06,74,188,93,117,142,0,1,0,Winter,0.6366,DELAYED,1
PRJ00005,Housing,Madurai,FastBuild Co,288.89,101,161,5,169,63,2,0,0,Winter,0.3336,AT_RISK,0
PRJ00006,Water Supply,Khammam,Prime Infra Group,318.02,403,549,20,94,95,1,1,0,Spring,0.8136,SEVERELY_DELAYED,1
PRJ00007,Transport,Lucknow,GovTech Solutions,82.12,418,554,34,163,147,1,1,0,Monsoon,0.7605,SEVERELY_DELAYED,1
PRJ00008,Healthcare,Muzaffarpur,ABC Infra Pvt Ltd,200.88,97,241,27,145,85,1,1,1,Winter,0.8037,SEVERELY_DELAYED,1
PRJ00009,Public Safety,Nashik,Prime Infra Group,123.69,604,745,68,67,114,4,1,1,Monsoon,0.7871,SEVERELY_DELAYED,1
PRJ00010,Healthcare,Nagpur,Horizon Projects,45.91,78,153,14,39,45,5,1,0,Spring,0.418,AT_RISK,0
PRJ00011,Electricity,Khammam,FastBuild Co,264.79,596,776,1,174,34,5,1,1,Spring,1.0,SEVERELY_DELAYED,1
PRJ00012,Water Supply,Madurai,SmartCity Builders,227.13,299,453,64,195,50,4,0,1,Monsoon,0.8574,SEVERELY_DELAYED,1
PRJ00013,Housing,Bikaner,Bharat Construction,187.27,195,354,69,199,140,0,1,1,Monsoon,0.8869,SEVERELY_DELAYED,1
PRJ00014,Roads & Highways,Pune,Urban Dev Ltd,120.11,276,338,72,20,26,5,1,0,Winter,0.3461,AT_RISK,0
PRJ00015,Housing,Ujjain,GovTech Solutions,330.05,592,768,21,67,140,4,1,0,Monsoon,0.9793,SEVERELY_DELAYED,1
PRJ00016,Housing,Jabalpur,Bharat Construction,199.8,717,841,83,95,117,4,1,0,Winter,0.6906,DELAYED,1
PRJ00017,Healthcare,Hubballi,National Build Corp,11.01,597,683,29,150,61,0,0,0,Winter,0.4791,DELAYED,1
PRJ00018,Healthcare,Central Delhi,ABC Infra Pvt Ltd,35.89,273,379,35,171,129,1,0,1,Winter,0.592,DELAYED,1
PRJ00019,Healthcare,Patna,Rajdhani Works,95.61,129,288,84,110,95,3,1,1,Spring,0.8864,SEVERELY_DELAYED,1
PRJ00020,Roads & Highways,Varanasi,National Build Corp,201.61,377,481,13,63,54,1,1,0,Summer,0.5811,DELAYED,1
PRJ00021,Electricity,Bengaluru Rural,Prime Infra Group,125.28,107,188,56,140,30,0,0,0,Spring,0.4526,DELAYED,1
PRJ00022,Healthcare,Bengaluru Urban,SmartCity Builders,240.94,440,581,7,42,102,0,1,1,Spring,0.7842,SEVERELY_DELAYED,1
PRJ00023,Public Safety,Madurai,SmartCity Builders,77.82,333,333,27,14,143,0,1,0,Spring,0.1847,ON_TRACK,0
PRJ00024,Roads & Highways,Kota,Rajdhani Works,28.91,550,715,10,47,22,4,0,0,Monsoon,0.9203,SEVERELY_DELAYED,1
PRJ00025,Electricity,Pune,FastBuild Co,289.67,70,192,79,20,112,5,1,1,Monsoon,0.6819,DELAYED,1
PRJ00026,Healthcare,Agra,Urban Dev Ltd,133.17,164,318,85,165,81,3,1,0,Monsoon,0.8578,SEVERELY_DELAYED,1
PRJ00027,Roads & Highways,Siliguri,FastBuild Co,37.09,248,248,64,67,38,2,0,0,Summer,0.1194,ON_TRACK,0
PRJ00028,Parks & Recreation,Madurai,GovTech Solutions,416.96,339,439,78,167,140,0,1,0,Spring,0.5563,DELAYED,1
PRJ00029,Sanitation & Drainage,Chennai South,National Build Corp,371.34,189,285,34,72,58,5,1,0,Summer,0.538,DELAYED,1
