feedback_text,sentiment,rating,category,ward
Public toilets are now clean and well maintained,POSITIVE,4,Water,Ward 18
New project for park development announced for our ward,NEUTRAL,3,Roads,Ward 41
The contractor did excellent work on the drainage project,POSITIVE,5,Construction,Ward 16
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Transport,Ward 42
Electricity cut for 3 days without any information,NEGATIVE,2,Electricity,Ward 40
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Electricity,Ward 32
Authorities not responding to any complaints,NEGATIVE,2,Sanitation,Ward 9
Water pipeline replacement work in progress,NEUTRAL,3,Parks,Ward 25
"Construction noise at midnight, residents suffering",NEGATIVE,1,Water,Ward 32
Road marking work will start after monsoon,NEUTRAL,3,Parks,Ward 19
Hospital renovation work started last month,NEUTRAL,3,Education,Ward 25
Street light maintenance scheduled for this weekend,NEUTRAL,3,Electricity,Ward 32
Road dug up for pipeline but not restored for months,NEGATIVE,1,Sanitation,Ward 29
"Garbage not collected for a week, health hazard",NEGATIVE,1,Education,Ward 25
Survey completed for new drainage line,NEUTRAL,3,Sanitation,Ward 4
Electricity department working on transformer upgrade,NEUTRAL,3,Transport,Ward 32
Construction of new school building underway,NEUTRAL,3,Parks,Ward 46
The construction work was neat and professional,POSITIVE,5,Sanitation,Ward 49
Bridge inspection scheduled for next week,NEUTRAL,3,Sanitation,Ward 28
Street light maintenance scheduled for this weekend,NEUTRAL,3,Parks,Ward 37
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Sanitation,Ward 17
"Complaint registered, under review by department",NEUTRAL,3,Education,Ward 25
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Electricity,Ward 43
"Bus route cancelled without notice, people suffering",NEGATIVE,2,Sanitation,Ward 8
Electricity cut for 3 days without any information,NEGATIVE,1,Roads,Ward 45
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Public Safety,Ward 24
Street light maintenance scheduled for this weekend,NEUTRAL,3,Electricity,Ward 26
"Water quality has improved, no more complaints from residents",POSITIVE,4,Water,Ward 26
"Garbage not collected for a week, health hazard",NEGATIVE,1,Parks,Ward 22
Road widening project completed ahead of schedule,POSITIVE,5,Healthcare,Ward 48
"Electricity outages have reduced significantly, great work",POSITIVE,5,Healthcare,Ward 40
Road widening project expected to complete next month,NEUTRAL,3,Water,Ward 22
Solar street lights are a wonderful initiative,POSITIVE,5,Transport,Ward 32
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Healthcare,Ward 11
Electricity department working on transformer upgrade,NEUTRAL,3,Roads,Ward 9
"The road repair was completed on time, very happy with the work",POSITIVE,5,Roads,Ward 31
Environmental clearance received for park project,NEUTRAL,3,Transport,Ward 43
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Public Safety,Ward 26
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Education,Ward 17
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Electricity,Ward 29
Bridge inspection scheduled for next week,NEUTRAL,3,Healthcare,Ward 36
Hospital renovation work started last month,NEUTRAL,3,Roads,Ward 16
Road dug up for pipeline but not restored for months,NEGATIVE,2,Roads,Ward 12
Traffic signal upgrade project is under review,NEUTRAL,3,Water,Ward 41
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Healthcare,Ward 42
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Construction,Ward 37
Great improvement in garbage collection frequency,POSITIVE,4,Water,Ward 49
Public toilet construction tender has been floated,NEUTRAL,3,Education,Ward 6
"Complaint registered, under review by department",NEUTRAL,3,Parks,Ward 28
The contractor did excellent work on the drainage project,POSITIVE,4,Education,Ward 17
"Bridge cracks visible, no action from authorities",NEGATIVE,2,Sanitation,Ward 21
"Park facilities broken, children getting hurt",NEGATIVE,1,Parks,Ward 36
The sanitation team is doing a commendable job,POSITIVE,4,Public Safety,Ward 35
"Bridge cracks visible, no action from authorities",NEGATIVE,2,Education,Ward 17
Garbage collection timings have been changed to morning,NEUTRAL,3,Healthcare,Ward 16
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Roads,Ward 34
New bus route announcement expected soon,NEUTRAL,3,Water,Ward 25
"Water quality has improved, no more complaints from residents",POSITIVE,4,Education,Ward 37
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Parks,Ward 41
The construction work was neat and professional,POSITIVE,4,Parks,Ward 4
