text,category,priority
Open drain overflowing near Mohalla 7 homes,Sanitation,Low
No sports facilities in Nagar Panchayat school,Education,Medium
Footover bridge broken near Puram Extension station,Transport,High
Demolition without safety measures in Colony B,Construction,Medium
No drinking water in Puram Extension school,Education,Medium
No dustbin provided in Puram Extension market,Sanitation,High
Electric poles damaged after storm near Ward 12,Electricity,High
No lighting in dark lanes near Village Kalan,Safety,Critical
No footpath for pedestrians on Old Delhi Road,Transport,Medium
Dirty conditions in Puram Extension government hospital,Healthcare,Medium
Building violating height norms in Sector 5,Construction,High
Power outage in Block 3 colony since morning,Electricity,Low
Suspicious activity near ATM in Village Kalan,Safety,Critical
Park gate broken in Block 3,Parks,Low
Illegal parking blocking Hospital Road in Sector 5,Transport,Low
Theft incidents increasing in Puram Extension locality,Safety,High
Road cave-in near Nagar Panchayat drainage line,Road,High
Garbage dump near Ward 12 residential area,Sanitation,Medium
No water supply for past 2 days in Mohalla 7,Water,High
Large pothole on Station Road causing accidents near Zone 4,Road,Low
Street lights not working on Main Bazaar since 5 days,Electricity,Medium
Water supply cut off for 5 days in Zone 4,Water,Critical
Lights flickering in Nagar Panchayat residential area,Electricity,Low
Dirty conditions in Zone 4 government hospital,Healthcare,Critical
Library books damaged in Block 3 school,Education,Medium
Footover bridge broken near Sector 5 station,Transport,Low
Overloaded vehicles causing accidents on NH-8,Transport,Low
Park walls have graffiti in Sector 5,Parks,Low
Government hospital lacks medicines in Block 3,Healthcare,Critical
Scholarship money not distributed in Puram Extension,Education,Low
Bus service not available to Town Area village,Transport,Medium
Stray dogs near garbage dump in Village Kalan,Sanitation,High
Long queues at Mohalla 7 government dispensary,Healthcare,Critical
Encroachment in Block 3 public park area,Parks,Medium
Water tank overflow flooding MG Road,Water,Low
No street lights on dark School Lane lane,Electricity,Medium
No parking facility near Zone 4 market,Transport,Low
No ASHA worker in Nagar Panchayat area since 5 days,Healthcare,Critical
No parking facility near Puram Extension market,Transport,Low
No electricity for 10 days in Colony B,Electricity,Medium
