text,category,priority
"Street lights are not working on MG Road","Electricity","Medium"
"No electricity for 3 days in sector 5","Electricity","High"
"Power outage in our colony since morning","Electricity","High"
"Electric poles are damaged after storm","Electricity","High"
"Street lamp broken near bus stop","Electricity","Low"
"Transformer blew up near market","Electricity","Critical"
"Lights flickering in residential area","Electricity","Low"
"No power supply during festival","Electricity","High"
"Illegal electrical connections spotted","Electricity","Medium"
"Electric meter not working properly","Electricity","Low"
"Large pothole on main road causing accidents","Road","Critical"
"Road is completely broken near school","Road","High"
"Speed breaker damaged on highway","Road","Medium"
"Footpath broken and dangerous for walkers","Road","Medium"
"Road waterlogged after rain","Road","High"
"Divider damaged on main street","Road","Medium"
"No road markings visible at night","Road","Medium"
"Bridge has cracks need urgent repair","Road","Critical"
"Potholes causing vehicle damage","Road","High"
"Road construction debris not cleared","Road","Low"
"Water supply cut off for 2 days","Water","High"
"Dirty water coming from tap","Water","Critical"
"Water pipe burst on main road","Water","Critical"
"No water pressure in building","Water","Medium"
"Sewage mixing with drinking water","Water","Critical"
"Water tanker not arriving on schedule","Water","High"
"Leaking water pipe wasting water","Water","Medium"
"Water meter showing wrong reading","Water","Low"
"Contaminated water supply in area","Water","Critical"
"No water for past week","Water","High"
"Garbage not collected for 5 days","Sanitation","High"
"Open drain overflowing near homes","Sanitation","High"
"Public toilet not maintained","Sanitation","Medium"
"Garbage dump near residential area","Sanitation","High"
"Sewage overflow on the street","Sanitation","Critical"
"Bins not emptied since last week","Sanitation","Medium"
"Stray dogs near garbage dump","Sanitation","Medium"
"Dead animals not removed from road","Sanitation","High"
"Open defecation area near school","Sanitation","High"
"Dirty drain causing disease spread","Sanitation","Critical"
"Park benches are broken and unusable","Parks","Low"
"Garden lights not working in park","Parks","Low"
"Playground equipment is damaged","Parks","Medium"
"Park gate is broken","Parks","Low"
"Trees fallen in park after storm","Parks","Medium"
"No drinking water in park","Parks","Medium"
"Park walls have graffiti","Parks","Low"
"Grass not trimmed in public garden","Parks","Low"
"Park pathway is broken","Parks","Medium"
"Encroachment in public park area","Parks","High"
"Government hospital lacks medicines","Healthcare","Critical"
"No doctors available at PHC","Healthcare","Critical"
"Ambulance service not responding","Healthcare","Critical"
"Dirty conditions in government hospital","Healthcare","High"
"Medical equipment not working","Healthcare","High"
"Long queues at government dispensary","Healthcare","Medium"
"Vaccination camp not organized","Healthcare","Medium"
"No ASHA worker in our area","Healthcare","Medium"
"Hospital ward is overcrowded","Healthcare","High"
"Expired medicines given at clinic","Healthcare","Critical"
"School building is in bad condition","Education","High"
"Teachers absent regularly","Education","High"
"No toilets in government school","Education","High"
"Mid-day meal not provided","Education","Medium"
"School has no blackboards","Education","Medium"
"Library books are damaged","Education","Low"
"No drinking water in school","Education","High"
"School roof leaking during rain","Education","High"
"No sports facilities in school","Education","Low"
"Untrained teachers in primary school","Education","Medium"
"Bus service not available to village","Transport","Medium"
"Auto drivers overcharging passengers","Transport","Medium"
"No bus shelter at stop","Transport","Low"
"Traffic signals not working","Transport","High"
"No footpath for pedestrians","Transport","Medium"
"Illegal parking blocking road","Transport","Medium"
"Bus routes reduced suddenly","Transport","High"
"No last mile connectivity","Transport","Medium"
"Road dividers removed illegally","Transport","High"
"CCTV cameras not working","Transport","Medium"
"Police not patrolling our area","Safety","High"
"Theft incidents increasing in locality","Safety","High"
"Street harassment near school","Safety","Critical"
"Illegal liquor shop operating openly","Safety","High"
"Drug dealing happening in park","Safety","Critical"
"No lighting in dark lanes","Safety","High"
"CCTV cameras vandalized","Safety","Medium"
"Suspicious activity near ATM","Safety","High"
"Women safety issues at bus stop","Safety","Critical"
"Night watchman not present","Safety","Medium"
"Building under construction without permit","Construction","Medium"
"Illegal construction blocking road","Construction","High"
"Construction noise during night hours","Construction","Medium"
"Construction debris on footpath","Construction","Low"
"Building violating height norms","Construction","Medium"
"Unauthorized commercial construction","Construction","High"
"Construction affecting water supply","Construction","High"
"Unsafe scaffolding near road","Construction","High"
"Demolition without safety measures","Construction","High"
"Construction dust affecting residents","Construction","Medium"
